Autism: Staphylococcus, Alistipes, Eubacterium, Pseudomonas, Neisseria, Escherichia, Acinetobacter, Corynebacterium, Rothia, Actinomyces, Collinsella, Coriobacteriaceae, Desulfovibrio, Lachnospira, Akkermansia, Escherichia coli, Clostridium, Granulicatella, Gemella, Proteobacteria
Viral Diarrhea: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
HIV-infected pneumonia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Crohn's Disease.1: Roseburia, Blautia, Ruminococcus, Bifidobacterium, Fusobacterium, Enterococcus, Parabacteroides, Faecalibacterium, Veillonella, Haemophilus, Lachnospiraceae, Bacteroides, Lactobacillus, Actinomyces, Streptococcus, Enterobacteriaceae, Coprococcus, Acinetobacter, Corynebacterium, Clostridium
Type 2 diabetes mellitus: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Pervasive developmental disorder NOS: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Macular degeneration: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Spondyloarthritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Systemic lupus erythematosus: Roseburia, Blautia, Ruminococcus, Bifidobacterium, Fusobacterium, Parabacteroides, Enterococcus, Faecalibacterium, Haemophilus, Veillonella, Lachnospiraceae, Bacteroides, Actinomyces, Lactobacillus, Enterobacteriaceae, Acinetobacter, Streptococcus, Corynebacterium, Coprococcus, Clostridium
Enthesitis-related arthritis : Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Spinal cord injury: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Denture Stomatitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Primary immunodeficiencies: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cervicovaginal microbiome dysbiosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Osmotic diarrhea: Faecalibacterium, Bacteroides, Bifidobacterium, Veillonella, Lactobacillus, Blautia, Streptococcus, Enterococcus, Roseburia, Fusobacterium, Ruminococcus, Parabacteroides, Prevotella, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Reflux esophagitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
severe skin and soft tissue infection: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Benign gynecologic condition: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Acinetobacter
Endometrial hyperplasia: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Endometrial cancer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Inactive Crohn's Disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Infantile eczema: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Granulomatous mastitis: Bacteroides, Lactobacillus, Faecalibacterium, Streptococcus, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Prevotella, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Coronary Heart Disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Vitiligo: Bacteroides, Streptococcus, Lactobacillus, Faecalibacterium, Veillonella, Prevotella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Acne: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Hyperthyroidism: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Appendicitis: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Clostridium
Constipation: Bacteroides, Faecalibacterium, Lactobacillus, Streptococcus, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Roseburia, Enterococcus, Prevotella, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Gastro-oesophageal reflux disease: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Oesophageal adenocarcinoma: Streptococcus, Lactobacillus, Prevotella, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Disease-free : Bacteroides, Streptococcus, Lactobacillus, Faecalibacterium, Veillonella, Bifidobacterium, Prevotella, Fusobacterium, Blautia, Enterococcus, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Chronic Rhinosinusitis with asthma: Streptococcus, Prevotella, Bacteroides, Lactobacillus, Veillonella, Faecalibacterium, Bifidobacterium, Enterococcus, Fusobacterium, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Chronic Rhinosinusitis with cystic fibrosis: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Acinetobacter
Primary sclerosing cholangitis-IBD: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Postmenopausal: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Oral cancer: Roseburia, Blautia, Bifidobacterium, Fusobacterium, Faecalibacterium, Ruminococcus, Enterococcus, Parabacteroides, Veillonella, Bacteroides, Lachnospiraceae, Haemophilus, Lactobacillus, Streptococcus, Actinomyces, Enterobacteriaceae, Prevotella, Coprococcus, Acinetobacter, Corynebacterium
Psoriatic Arthritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic lung disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cardiovascular disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Enterococcus, Fusobacterium, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Clostridium difficile associated disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Botulism: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Idiopathic Pulmonary Fibrosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Rett Syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Gingivitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic prostatitis / Chronic pelvic pain syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Kidney stone: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Eosinophilic esophagitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic kidney disease: Roseburia, Blautia, Ruminococcus, Parabacteroides, Fusobacterium, Enterococcus, Bifidobacterium, Haemophilus, Lachnospiraceae, Actinomyces, Faecalibacterium, Acinetobacter, Enterobacteriaceae, Corynebacterium, Veillonella, Clostridium, Staphylococcus, Pseudomonas, Coprococcus, Neisseria
Chagas' disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
periodontitis: Lactococcus, Escherichia, Actinobacteria, Desulfovibrio, Escherichia coli, Oscillibacter, Coriobacteriaceae, Proteobacteria, Parvimonas, Fusobacterium nucleatum, Prevotella copri, Propionibacterium acnes, Eubacterium, Eggerthella, Prevotella melaninogenica, Odoribacter, Granulicatella, Enterobacter, Haemophilus parainfluenzae, Bacteroides fragilis
Anorexia Nervosa: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Kawasaki disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Kawasaki disease.1: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic rhinosinusitis with nasal polyps: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Respiratory tract infection: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Rhinovirus infection: Bacteroides, Lactobacillus, Streptococcus, Faecalibacterium, Veillonella, Bifidobacterium, Prevotella, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Hirschsprung's disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Non alcoholic steatohepatitis: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Acinetobacter
Pancreatitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Non-alcoholic fatty liver disease: Bifidobacterium, Roseburia, Blautia, Faecalibacterium, Fusobacterium, Ruminococcus, Enterococcus, Parabacteroides, Veillonella, Bacteroides, Lachnospiraceae, Lactobacillus, Haemophilus, Streptococcus, Prevotella, Enterobacteriaceae, Actinomyces, Coprococcus, Acinetobacter, Corynebacterium
Ascites: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Opisthorchis felineus infection: Bacteroides, Faecalibacterium, Streptococcus, Lactobacillus, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Roseburia, Enterococcus, Prevotella, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Helicobacter pylori infection: Faecalibacterium, Bifidobacterium, Bacteroides, Blautia, Roseburia, Fusobacterium, Veillonella, Enterococcus, Ruminococcus, Parabacteroides, Lactobacillus, Streptococcus, Lachnospiraceae, Haemophilus, Prevotella, Enterobacteriaceae, Actinomyces, Coprococcus, Dialister, Acinetobacter
Primary biliary cirrhosis: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Liver fibrosis: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hepatic encephalopathy: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Alcoholism: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Gastroenteritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Primary biliary cholangitis: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Amyotrophic lateral sclerosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hashimoto's thyroiditis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cirrhosis with pneumonia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hepatitis C: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Functional dyspepsia: Streptococcus, Prevotella, Bacteroides, Lactobacillus, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Liver transplant: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Veillonella, Faecalibacterium, Bifidobacterium, Enterococcus, Fusobacterium, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Clostridium
Hypercholesterolaemia: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Non-alcoholic fatty liver disease.1: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Schizophrenia: Actinomyces, Staphylococcus, Pseudomonas, Acinetobacter, Neisseria, Corynebacterium, Alistipes, Haemophilus, Roseburia, Ruminococcus, Rothia, Enterobacteriaceae, Blautia, Clostridium, Parabacteroides, Lachnospira, Collinsella, Eubacterium, Fusobacterium, Akkermansia
Atrophic gastritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Vulvovaginal candidiasis: Bacteroides, Lactobacillus, Faecalibacterium, Veillonella, Streptococcus, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Prevotella, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Cervicitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Smoking: Roseburia, Ruminococcus, Blautia, Parabacteroides, Fusobacterium, Enterococcus, Bifidobacterium, Haemophilus, Lachnospiraceae, Faecalibacterium, Actinomyces, Enterobacteriaceae, Acinetobacter, Veillonella, Corynebacterium, Clostridium, Staphylococcus, Pseudomonas, Coprococcus, Bacteroides
Pregnancy: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Idiopathic infertility: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Trichomonas vaginalis infection: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
